Date / Time,Mode,Category,Sub category,Income/Expense,Debit/Credit
21 February 2021,CUB - online payment,Transportation,It better be worth it,Expense,1300
23 February 2021,CUB - online payment,Food,Eggs,Expense,83
23 February 2021,CUB - online payment,Apparel,Hoodie for gobi,Expense,3999
24 February 2021,CUB - online payment,Food,Creamstone,Expense,289
26 February 2021,CUB - online payment,Food,Tea lights,Expense,84
26 February 2021,CUB - online payment,Other,To karthi,Expense,100
27 February 2021,CUB - online payment,Food,Lunch,Expense,243
28 February 2021,CUB - online payment,salary,office,Income,55000
28 February 2021,CUB - online payment,Food,Pizza,Expense,339.15
01 March 2021,CUB - online payment,Other,From abi,Income,300
01 March 2021,CUB - online payment,Food,Lunch unlimited nv,Expense,300
01 March 2021,CUB - online payment,Other,From shakur,Income,1140
01 March 2021,CUB - online payment,Other,From barath,Income,201
01 March 2021,CUB - online payment,Food,Dairy milk,Expense,10
02 March 2021,CUB - online payment,Other,To gowdham,Expense,150
02 March 2021,CUB - online payment,Food,Good soup,Expense,50
15 March 2021,CUB - online payment,Transportation,Bus to Bangalore,Expense,1365
21 March 2021,CUB - online payment,salary,office,Income,55000
22 March 2021,CUB - online payment,Household,Stuffs,Expense,5120
23 March 2021,CUB - online payment,Apparel,Earphone,Expense,3997
31 March 2021,CUB - online payment,Transportation,To ksr station,Expense,153
01 April 2021,CUB - online payment,Food,Sent to preethi,Expense,107
01 April 2021,CUB - online payment,Other,To vicky,Expense,80
01 April 2021,CUB - online payment,Food,Lunch with company,Expense,106
01 April 2021,CUB - online payment,Education,Arrear and reval fee,Expense,14000
03 April 2021,CUB - online payment,Other,To lended people,Expense,300
19 April 2021,CUB - online payment,Transportation,Took from sbi,Expense,200
19 April 2021,CUB - online payment,Food,Ramen with gobi,Expense,380
21 April 2021,CUB - online payment,Salary,office,Income,55000
22 April 2021,CUB - online payment,Household,Stuffs,Expense,5180
22 April 2021,CUB - online payment,Food,Shawarma,Expense,80
25 April 2021,CUB - online payment,Transportation,Cab,Expense,306
01 May 2021,CUB - online payment,Food,Lunch with company,Expense,388
01 May 2021,CUB - online payment,Transportation,Refund for bus ticket,Expense,600
01 May 2021,CUB - online payment,Other,To abijith and to vicky lend money returned,Expense,500
01 May 2021,CUB - online payment,Other,To gobi 1st 1/4th,Expense,500
01 May 2021,CUB - online payment,Other,Lended money returned to kumara,Expense,30
01 May 2021,CUB - online payment,Food,Jan 2nd with shakur and barath,Expense,354
01 May 2021,CUB - online payment,Other,Lended money returned to vishnu,Expense,40
18 May 2021,CUB - online payment,apparel,Spiderman ,Expense,1363.72
21 May 2021,CUB - online payment,salary,office,Income,55000
22 May 2021,CUB - online payment,Household,Stuffs,Expense,5120
31 May 2021,CUB - online payment,Transportation,Vnr to apk,Expense,50
01 June 2021,CUB - online payment,Transportation,Rapido to pg,Expense,429
01 June 2021,CUB - online payment,Food,Bingo,Expense,10
01 June 2021,CUB - online payment,Food,Dinner with roommate,Expense,877.81
01 June 2021,CUB - online payment,Food,Ketch up,Expense,200
01 June 2021,CUB - online payment,Other,From barath and shakur,Income,440
02 June 2021,CUB - online payment,Other,To gobi,Expense,4500
02 June 2021,CUB - online payment,Transportation,To chennai,Expense,1000
02 June 2021,CUB - online payment,Food,To kumara,Expense,150
02 June 2021,CUB - online payment,Food,Cakepark,Expense,125
02 June 2021,CUB - online payment,Food,Dinner with aravind and buddies,Expense,491
14 June 2021,CUB - online payment,Food,Snacks,Expense,749
22 June 2021,CUB - online payment,Household,Stuffs,Expense,4120
22 June 2021,CUB - online payment,salary,office,Income,55000
01 July 2021,CUB - online payment,Food,Coffee + biscuit,Expense,1599
02 July 2021,CUB - online payment,Transportation,Auto to Gobi's place,Expense,214
18 July 2021,CUB - online payment,Other,To kumara,Expense,200
22 July 2021,CUB - online payment,Household,Stuffs,Expense,4620
23 July 2021,CUB - online payment,Food,Lunch,Expense,302
24 July 2021,CUB - online payment,apparel,Beer,Expense,1500
25 July 2021,CUB - online payment,Food,Kfc date with myself,Expense,259
26 July 2021,CUB - online payment,salary,office,Income,55000
27 July 2021,CUB - online payment,Other,From vicky,Income,300
01 August 2021,CUB - online payment,Household,Rent,Expense,4580
01 August 2021,CUB - online payment,Food,Lunch with gowdham,Expense,535.3
01 August 2021,CUB - online payment,Other,From gowdham,Income,260
02 August 2021,CUB - online payment,salary,office,Income,55000
02 August 2021,CUB - online payment,Other,From dad,Income,500
17 August 2021,CUB - online payment,Other,Gave to gowdham,Expense,50
21 August 2021,CUB - online payment,Transportation,Travel to koyambedu,Expense,138
24 August 2021,CUB - online payment,Food,Tamen,Expense,324.7
26 August 2021,CUB - online payment,Food,Snacks,Expense,40
27 August 2021,CUB - online payment,Transportation,Rapido to pg,Expense,43
30 August 2021,CUB - online payment,Other,From Deepak,Income,2250
02 September 2021,CUB - online payment,Household,Bean bag,Expense,2099
03 September 2021,CUB - online payment,Other,From vicky,Income,100
14 September 2021,CUB - online payment,Other,Kumara,Income,170
23 September 2021,CUB - online payment,Food,Sent to vicky,Expense,300
23 September 2021,CUB - online payment,Food,Dinner,Expense,465
23 September 2021,CUB - online payment,Food,Pepsi,Expense,40
24 September 2021,CUB - online payment,Food,Lunch with company,Expense,133
24 September 2021,CUB - online payment,salary,office,Income,55000
25 September 2021,CUB - online payment,Transportation,Train to vnr,Expense,3325
27 September 2021,CUB - online payment,Other,To vicky,Expense,300
01 October 2021,CUB - online payment,Food,Friday snacks with preethi gang,Expense,106
01 October 2021,CUB - online payment,salary,office,Income,55140
01 October 2021,CUB - online payment,Other,From barath,Income,201
02 October 2021,CUB - online payment,Household,Bean bag,Expense,2099
02 October 2021,CUB - online payment,Food,Kfc dinner,Expense,641
14 October 2021,CUB - online payment,Food,Panipoori,Expense,80
16 October 2021,CUB - online payment,Food,Milk with bharath,Expense,110
18 October 2021,CUB - online payment,Other,To kumara,Expense,10000
27 October 2021,CUB - online payment,Other,From ganesan,Income,40
30 October 2021,CUB - online payment,Other,From abi,Income,20
30 October 2021,CUB - online payment,Transportation,Rapido + toll,Expense,286
30 October 2021,CUB - online payment,Transportation,Bommasandra to pg,Expense,199
01 November 2021,CUB - online payment,Food,Lunch with not preethi,Expense,135.5
02 November 2021,CUB - online payment,Household,Bean bag,Expense,4099
02 November 2021,CUB - online payment,Food,Dinner with aravind,Expense,373
13 November 2021,CUB - online payment,Other,From dad,Income,1000
14 November 2021,CUB - online payment,Food,Lunch pongal,Expense,1530
14 November 2021,CUB - online payment,Other,From gowdham,Income,340
14 November 2021,CUB - online payment,Salary,office,Income,55240
14 November 2021,CUB - online payment,Other,Siva + 100 cash,Income,70
18 November 2021,CUB - online payment,Other,From dad,Income,1000
27 November 2021,CUB - online payment,Transportation,Rapido,Expense,35
27 November 2021,CUB - online payment,Food,Dinner with gowdham,Expense,130
27 November 2021,CUB - online payment,Food,Dinner with gowdham,Expense,120
28 November 2021,CUB - online payment,Food,Zomato,Expense,269.4
28 November 2021,CUB - online payment,Food,Snack,Expense,94
29 November 2021,CUB - online payment,Food,Breakfast,Expense,40
29 November 2021,CUB - online payment,Food,Panipoori,Expense,40
29 November 2021,CUB - online payment,Food,Lunch with company,Expense,40
29 November 2021,CUB - online payment,Food,Dinner,Expense,50
29 November 2021,CUB - online payment,Transportation,Rapido to pg,Expense,44
30 November 2021,CUB - online payment,Food,Breakfast,Expense,70
30 November 2021,CUB - online payment,Food,Lunch with company,Expense,128
30 November 2021,CUB - online payment,apparel,Bharath birthday,Expense,115
01 December 2021,CUB - online payment,Food,Pizza,Expense,301.75
01 December 2021,CUB - online payment,Other,From kumara,Income,200
01 December 2021,CUB - online payment,Other,Recharge by gowdham,Expense,479
02 December 2021,CUB - online payment,Other,From dad,Income,10000
02 December 2021,CUB - online payment,Food,Lunch,Expense,80
02 December 2021,CUB - online payment,Household,Mirror,Expense,7770
12 December 2021,CUB - online payment,Food,Milk with bharath,Expense,25
14 December 2021,CUB - online payment,Food,Milk with bharath,Expense,65
14 December 2021,CUB - online payment,Food,Snacks,Expense,75
14 December 2021,CUB - online payment,Food,Lunch,Expense,400
16 December 2021,CUB - online payment,Food,Lunch,Expense,30
16 December 2021,CUB - online payment,Food,Panipoori,Expense,20
16 December 2021,CUB - online payment,Food,Egg,Expense,300
17 December 2021,CUB - online payment,Food,Lunch with company,Expense,110
17 December 2021,CUB - online payment,Food,Milk with bharath,Expense,700
18 December 2021,CUB - online payment,Food,Lunch,Expense,160
18 December 2021,CUB - online payment,Other,Lended money,Income,400
18 December 2021,CUB - online payment,Food,To rahul,Expense,113
18 December 2021,CUB - online payment,Allowance,From dad,Income,5000
18 December 2021,CUB - online payment,Other,To abijith,Expense,200
19 December 2021,CUB - online payment,Other,To siva,Expense,10000
20 December 2021,CUB - online payment,Food,Milk with bharath,Expense,40
20 December 2021,CUB - online payment,Food,Lunch with barath,Expense,85
20 December 2021,CUB - online payment,Food,Water,Expense,20
20 December 2021,CUB - online payment,Food,Snacks,Expense,20
20 December 2021,CUB - online payment,Transportation,Taxi,Expense,800
20 December 2021,CUB - online payment,Food,Milk with bharath,Expense,80
21 December 2021,CUB - online payment,Food,Bun,Expense,18
21 December 2021,CUB - online payment,Food,Puffs,Expense,25
21 December 2021,CUB - online payment,Food,Dinner with barath,Expense,239
23 December 2021,CUB - online payment,Food,Puffs and coffee,Expense,32
23 December 2021,CUB - online payment,Food,Lemon tea with company,Expense,15
24 December 2021,CUB - online payment,Food,Lunch with company,Expense,262
25 December 2021,CUB - online payment,Food,Milk with bharath,Expense,40
25 December 2021,CUB - online payment,Food,Water,Expense,30
25 December 2021,CUB - online payment,Food,Corn,Expense,300
25 December 2021,CUB - online payment,Apparel,Books,Expense,400
25 December 2021,CUB - online payment,Food,Dinner with barath,Expense,504
27 December 2021,CUB - online payment,Food,Coconut water with stu,Expense,50
27 December 2021,CUB - online payment,Other,From vicky,Income,80
27 December 2021,CUB - online payment,Food,Lunch with barath,Expense,115
28 December 2021,CUB - online payment,Food,Coffee and thattai,Expense,14
30 December 2021,CUB - online payment,Food,Water,Expense,20
30 December 2021,CUB - online payment,Other,From Deepak,Income,250
30 December 2021,CUB - online payment,Food,Horlicks + kolakattai,Expense,25
30 December 2021,CUB - online payment,Salary,office,Income,55530
30 December 2021,CUB - online payment,Transportation,Pg to office,Expense,43
30 December 2021,CUB - online payment,Food,To barath,Expense,20
